BHK,Rent,Size,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
2,10000,1100,Bandel,Kolkata,Unfurnished,Bachelors/Family,2
2,20000,800,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,Bachelors/Family,1
2,17000,1000,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors/Family,1
2,10000,800,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1
2,7500,850,South Dum Dum,Kolkata,Unfurnished,Bachelors,1
2,7000,600,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,2
2,10000,700,Malancha,Kolkata,Unfurnished,Bachelors,2
1,5000,250,Malancha,Kolkata,Unfurnished,Bachelors,1
2,26000,800,"Palm Avenue Kolkata, Ballygunge",Kolkata,Unfurnished,Bachelors,2
2,10000,1000,Natunhat,Kolkata,Semi-Furnished,Bachelors/Family,2
3,25000,1200,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,Bachelors/Family,2
1,5000,400,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1
1,6500,250,"Tarulia, Keshtopur",Kolkata,Furnished,Bachelors,1
1,5500,375,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1
3,8500,900,Paschim Barisha,Kolkata,Unfurnished,Bachelors,2
3,40000,1286,New Town Action Area 1,Kolkata,Furnished,Bachelors/Family,2
2,6000,600,Barasat,Kolkata,Semi-Furnished,Bachelors/Family,1
2,10000,800,Behala,Kolkata,Unfurnished,Bachelors/Family,1
2,11000,2000,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,1
2,6000,660,Behala,Kolkata,Unfurnished,Bachelors/Family,1
2,7900,650,Santoshpur,Kolkata,Unfurnished,Family,1
2,9000,400,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors,2
1,4000,300,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1
3,6500,1600,Joka,Kolkata,Unfurnished,Bachelors/Family,1
1,8000,400,Sreebhumi,Kolkata,Semi-Furnished,Bachelors,1
2,7000,1000,Rajarhat,Kolkata,Unfurnished,Bachelors/Family,1
1,5300,355,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,1
2,6000,1000,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Bachelors/Family,1
2,8500,800,Baguiati,Kolkata,Unfurnished,Bachelors/Family,1
2,12500,850,"Rabindra Sarobar Area, Dhakuria",Kolkata,Unfurnished,Bachelors/Family,2
1,7500,350,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1
2,15000,900,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,Bachelors/Family,2
2,6000,550,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,1
2,5000,500,Baruipur,Kolkata,Unfurnished,Bachelors/Family,2
3,22000,1100,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1
2,15000,850,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1
2,12500,800,Shyam Bazar,Kolkata,Unfurnished,Bachelors,1
2,7000,630,Birati,Kolkata,Unfurnished,Bachelors,1
2,21000,900,Bansdroni,Kolkata,Semi-Furnished,Bachelors,2
1,10000,270,Jadavpur University,Kolkata,Semi-Furnished,Bachelors/Family,1
2,7200,630,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1
3,12000,1500,Bhadrakali,Kolkata,Furnished,Bachelors,2
1,5000,600,Behala,Kolkata,Unfurnished,Bachelors/Family,1
2,8500,700,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,1
1,6000,300,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1
2,10000,1300,Kalikapur,Kolkata,Semi-Furnished,Family,2
2,4600,400,Behala,Kolkata,Semi-Furnished,Bachelors,1
2,12000,650,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2
3,30000,2000,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2
3,15000,1068,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2
1,7500,150,Salt Lake City,Kolkata,Furnished,Bachelors/Family,1
1,7500,450,New Town,Kolkata,Unfurnished,Bachelors,1
2,5000,800,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1
2,15000,1000,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2
2,11000,900,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1
1,7000,600,Behala,Kolkata,Unfurnished,Bachelors/Family,1
2,6000,1200,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1
2,6000,1200,Hooghly-Chinsurah,Kolkata,Semi-Furnished,Bachelors,2
2,7000,650,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,2
2,8500,720,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,2
1,5000,300,Kasba,Kolkata,Unfurnished,Bachelors,1
3,30000,1200,VIP Road Haldiram,Kolkata,Unfurnished,Bachelors/Family,3
2,10000,700,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2
3,30000,2000,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,2
1,3500,250,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1
2,8000,1100,Naihati,Kolkata,Unfurnished,Bachelors,1
1,5000,300,Kasba,Kolkata,Unfurnished,Bachelors/Family,1
2,7500,600,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,1
2,6500,800,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1
1,7500,680,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1
1,7500,680,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1
2,16000,850,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1
2,16000,850,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1
2,6500,700,Bandel,Kolkata,Unfurnished,Bachelors,1
3,40000,1500,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,2
2,12500,950,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,2
2,5500,500,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1
1,5000,450,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,Bachelors/Family,1
2,6500,700,Sonarpur,Kolkata,Unfurnished,Bachelors,1
1,8000,500,Lake Town,Kolkata,Unfurnished,Bachelors/Family,1
3,14500,1800,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,2
1,8200,500,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1
2,15000,480,shukhobrishti,Kolkata,Furnished,Bachelors/Family,2
6,20000,1000,Sonarpur,Kolkata,Semi-Furnished,Bachelors/Family,2
2,6700,800,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,Bachelors/Family,1
1,10000,435,Kasba,Kolkata,Unfurnished,Bachelors/Family,1
2,7000,700,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2
2,22000,800,"Hazra, Kalighat",Kolkata,Furnished,Bachelors/Family,1
2,6500,450,Ajoy Nagar,Kolkata,Unfurnished,Bachelors/Family,1
2,8500,550,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,1
2,18000,800,Salt Lake City,Kolkata,Unfurnished,Bachelors,2
2,12000,550,Baghajatin,Kolkata,Semi-Furnished,Family,2
1,9000,600,Behala,Kolkata,Furnished,Bachelors/Family,1
1,6000,500,"New Garia, Garia",Kolkata,Unfurnished,Bachelors/Family,1
2,20000,1000,Anandapur,Kolkata,Furnished,Bachelors/Family,2
1,5000,300,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1
2,12000,1200,Boral,Kolkata,Furnished,Bachelors/Family,2
2,10000,500,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1
4,18000,1200,Bagbazar,Kolkata,Unfurnished,Family,2
2,15000,900,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2
3,22000,1300,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,3
4,35000,1600,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,3
3,21000,1450,Ajoy Nagar,Kolkata,Unfurnished,Family,2
2,25000,1100,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,Bachelors,2
1,6000,600,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,1
2,14000,700,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,2
3,8000,750,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Family,1
